F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,Label
2.9647,6.3273,5.7779,3.3695,2.9736,3.6493,9.6834,3.544,3.2515,16.813,17.927,9.218,9.2366,5.2869,4.4495,8.0154,14.289,17.484,4.2935,1.4071,6.7188,8.0199,16.022,11.084,22.116,3.5685,7.5434,7.0888,8.3018,7.0416,15.908,2,Surface
5.9798,11.568,21.047,8.5274,10.69,9.184,6.6002,7.9962,11.638,11.887,10.47,11.608,6.9809,16.966,7.2981,23.181,3.4685,5.0277,16.978,10.049,7.2889,5.9009,13.943,14.635,18.344,8.1736,8.7392,13.12,6.0452,17.689,5.5807,2,Surface
12.141,11.479,9.1852,14.972,8.7994,21.895,4.7594,8.4422,9.4109,2.6168,8.2162,4.9811,17.598,12.115,17.41,17.447,11.561,8.7576,15.56,19.622,14.57,20.244,6.4297,21.025,6.703,17.195,3.5727,20.493,12.159,7.9396,18.733,2,Surface
11.821,11.119,8.752,13.643,3.2462,7.6563,21.615,10.783,9.5079,12.883,9.3284,17.121,4.4765,7.7173,15.493,16.208,7.6883,2.0091,12.748,8.5808,16.922,20.348,6.6344,23.992,13.322,8.9766,6.5604,11.799,13.009,9.0118,3.2101,2,Surface
7.0085,27.927,6.565,1.4404,3.5925,7.4988,9.1216,7.8409,9.8015,14.641,14.561,18.096,15.632,6.9992,10.741,8.9025,9.5502,7.262,11.026,4.2143,17.336,11.721,4.5005,15.748,21.725,16.68,5.521,4.8884,14.34,12.132,8.1047,2,Surface
7.823,10.552,4.8415,9.3519,3.4294,19.004,6.3224,5.5798,16.231,19.517,12.645,12.613,17.447,5.9268,4.693,5.7741,15.671,12.747,13.032,9.9967,7.5459,4.4472,5.3281,4.5289,8.1853,7.1974,8.8123,12.326,5.102,13.06,8.996,2,Surface
14.146,10.213,5.8633,2.4275,4.0018,16.886,9.6511,15.617,8.1446,7.5174,12.445,9.8472,12.569,3.7722,7.3981,11.998,17.284,5.6494,5.0371,9.1696,14.143,24.248,5.3548,10.238,10.614,12.909,12.461,8.658,16.088,6.4742,9.6489,2,Surface
12.613,7.3375,25.204,14.385,14.384,16.222,23.452,7.3378,9.8686,7.5674,10.883,10.336,9.1196,17.235,14.858,12.885,14.178,16.731,10.967,11.947,5.8932,7.2115,6.6311,11.667,7.4539,12.067,12.812,12.336,25.187,11.243,3.432,2,Surface
8.5857,16.796,10.078,14.718,1.7752,9.8849,12.886,22.305,20.268,28.125,10.854,3.7745,12.958,2.4635,5.9422,7.1301,15.602,19.898,16.635,9.4929,13.671,9.3118,17.781,21.294,11.236,10.559,18.172,20.999,7.7624,11.367,5.5872,2,Surface
3.2904,17.175,10.452,25.974,10.862,13.026,36.298,15.773,17.995,18.107,10.994,19.286,12.529,13.226,4.6845,9.4211,14.031,4.9909,6.6889,18.137,15.552,30.088,5.6376,11.81,22.694,28.634,9.6961,13.963,15.636,0.81795,14.545,2,Surface
33.536,21.31,17.878,11.097,18.305,13.769,5.2607,8.8044,8.7612,8.283,12.832,19.059,14.365,24.371,12.864,12.006,15.019,21.866,3.6644,4.3295,19.449,15.294,6.2278,11.756,11.08,7.8293,6.5199,5.5218,31.141,16.113,19.516,2,Surface
15.579,10.986,34.685,5.9951,13.313,2.3348,15.371,23.918,10.416,14.994,5.6812,12.313,12.992,4.9513,20.691,5.3469,6.9434,9.1872,9.5077,18.593,10.233,30.703,27.854,14.119,17.029,12.652,20.455,4.6497,9.8374,9.8115,11.279,2,Surface
9.4727,2.8566,5.8369,13.27,11.754,7.4001,9.1626,16.659,7.1264,19.393,16.749,11.454,7.673,3.265,8.6496,7.7054,16.898,18.084,4.325,20.967,11.363,17.156,15.174,3.2647,16.53,6.6091,7.6219,12.457,4.7933,19.909,8.822,2,Surface
21.794,7.9647,12.543,6.1298,1.2542,22.832,9.114,5.896,8.9024,5.1983,7.6569,26.6,15.12,5.88,7.4058,9.9535,15.269,14.43,20.308,7.9657,12.102,14.591,17.607,4.81,15.97,19.15,23.808,5.9236,9.1014,26.487,37.01,2,Surface
16.767,11.511,12.039,14.115,8.7131,4.6648,13.707,8.375,6.1441,13.375,11.221,9.3765,11.479,11.056,17.034,6.4244,6.1701,7.9341,7.653,6.4764,1.8434,22.632,22.562,9.4792,5.9788,6.0335,7.1914,5.4306,10.089,14.3,15.552,2,Surface
18.833,17.594,4.3987,11.091,12.095,2.6625,7.7215,4.9555,20.774,7.1645,15.041,15.666,4.1167,9.1286,7.6362,5.2899,12.062,15.653,9.2934,13.344,15.159,18.966,8.4815,33.136,13.321,8.4037,7.2927,10.562,9.5876,6.4084,6.6199,2,Surface
6.1726,2.7852,16.3,19.181,22.29,16.362,10.573,4.564,16.596,25.258,6.6936,5.8862,9.3379,26.562,21.886,1.6165,20.432,6.7757,18.514,10.096,7.5272,10.99,16.403,18.783,10.527,5.969,19.276,9.5449,9.3264,3.0247,29.671,2,Surface
17.172,9.9786,12.659,16.866,8.8682,16.617,20.748,10.84,7.5532,14.026,14.883,10.686,17.253,3.9161,5.312,6.78,12.71,15.246,6.5563,12.888,14.179,29.406,6.1187,11.282,9.1674,9.5739,1.1642,4.3504,5.5908,4.3322,6.7787,2,Surface
35.028,17.895,12.643,2.2763,10.826,17.8,11.575,12.69,5.7736,5.9233,27.913,10.577,13.984,11.193,21.453,7.5067,13.068,9.7841,8.8815,6.0141,6.1608,19.112,5.2939,15.853,7.1899,21.575,12.055,15.78,16.572,4.4116,28.096,2,Surface
4.6625,2.1182,26.145,3.2463,16.123,7.3548,19.487,17.413,11.897,15.113,4.976,17.31,10.572,11.046,21.268,18.829,15.12,7.9115,6.4397,20.683,10.092,4.6002,15.908,15.087,13.556,13.612,18.153,20.29,6.8135,28.949,2.253,2,Surface
9.5618,16.589,19.275,17.532,7.2817,19.6,22.632,16.356,18.419,10.507,14.387,9.5163,24.03,27.361,7.5347,7.7858,21.598,25.464,17.934,17.756,20.129,8.9976,22.653,3.6919,7.5161,27.376,6.0332,19.025,26.057,8.5316,33.441,2,Surface
7.1515,11.939,8.7501,4.8265,13.602,10.692,12.903,24.541,8.3595,15.086,13.243,27.106,13.924,6.8304,3.2004,3.8671,7.9074,2.1441,13.657,14.769,6.1882,7.4154,12.19,11.249,13.825,8.4413,5.0205,5.8726,4.6992,17.194,16.483,2,Surface
7.8995,12.928,8.7758,5.712,8.7386,11.773,9.8202,20.152,6.5096,10.623,24.36,15.634,11.192,20.459,16.838,5.7745,5.784,5.7178,15.914,5.917,9.3629,3.0095,4.7079,16.118,7.4259,9.5877,18.514,5.5645,18.014,11.614,12.591,2,Surface
23.07,18.76,14.761,14.608,17.677,5.7965,13.042,8.5732,15.861,23.321,15.531,30.118,21.474,13.819,8.0382,4.1968,29.437,8.422,2.8678,11.41,5.3533,13.912,14.558,17.31,22.53,3.4093,4.7435,1.7119,11.338,10.17,18.494,2,Surface
7.7041,9.6603,22.288,5.764,11.066,9.5808,26.716,0.97882,15.683,15.409,22.447,10.148,23.662,3.2498,4.359,5.2876,3.111,11.984,18.497,9.7644,5.3787,9.158,10.442,15.922,12.343,2.6772,13.264,8.7638,13.996,8.4931,7.2281,2,Surface
21.486,9.9263,3.1462,3.1588,19.473,7.7834,10.56,8.2399,16.877,2.6694,9.8513,2.9485,5.389,1.3276,12.482,6.21,13.765,3.8382,16.778,4.197,13.735,7.2876,16.158,7.8554,17.146,15.093,10.499,16.557,12.219,10.842,1.2356,2,Surface
35.261,12.213,14.351,7.3289,5.4979,1.9105,1.2079,14.244,20.39,14.366,14.251,10.778,11.405,18.027,2.9544,6.2996,25.457,14.919,17.044,6.7489,20.061,21.441,13.701,10.389,21.893,13.496,18.026,12.611,6.8446,17.988,10.698,2,Surface
2.211,13.557,18.338,15.893,15.99,6.4624,6.7296,17.993,18.341,12.515,19.094,22.589,7.9709,21.413,7.4017,17.659,15.041,18.386,6.3825,10.793,16.411,16.906,16.789,12.628,5.6678,22.566,3.9045,8.4045,18.834,21.986,25.884,2,Surface
30.864,17.885,17.488,17.149,9.6639,14.277,15.899,9.0845,11.761,14.861,17.644,20.162,4.5149,16.61,7.957,13.361,7.796,7.0716,11.131,10.394,12.65,17.016,14.204,11.666,11.994,13.095,15.37,11.615,2.8013,4.6727,5.6747,2,Surface
10.557,6.2877,5.012,7.2389,3.0765,7.0636,8.6325,10.887,13.206,24.481,7.6408,14.052,8.7397,7.2108,9.4512,9.8873,17.117,16.035,15.12,16.98,24.532,5.3751,23.085,12.387,31.137,14.111,5.0061,16.742,5.4772,24.019,19.613,2,Surface
23.123,17.576,7.0461,3.585,8.5435,15.091,23.146,4.0155,8.1294,18.684,9.8103,9.6551,12.711,8.41,15.054,10.456,13.731,10.589,8.9638,3.3488,3.2684,5.347,9.3176,17.597,8.4858,10.834,24.478,4.5969,24.35,10.009,28.905,2,Surface
24.209,12.806,8.8938,12.012,22.249,20.888,21.895,11.424,11.916,14.876,8.6445,13.638,5.9463,13.621,19.338,7.7116,6.3396,18.533,9.8435,14.422,14.184,16.985,19.088,6.4058,10.864,1.1606,6.3077,3.0131,15.299,12.647,4.8148,2,Surface
6.2909,5.4491,15.65,9.1571,17.19,13.384,2.1882,12.259,12.664,2.5653,13.167,12.461,15.241,7.2642,15.624,13.195,0.97021,8.6753,15.577,15.269,19.167,12.659,18.582,10.134,9.4652,12.23,10.888,3.3093,14.054,12.904,11.116,2,Surface
10.568,12.435,15.095,13.245,24.314,13.862,11.046,11.192,12.488,14.339,20.782,9.2399,11.893,14.128,18.995,10.199,22.587,0.51234,30.674,11.679,5.6016,20.106,10.661,10.32,5.1984,32.825,13.014,15.923,23.773,1.3282,14.703,2,Surface
2.8962,12.358,6.5267,15.908,10.751,6.394,13.179,8.6339,6.9255,24.703,6.1905,8.5348,7.0726,7.2207,8.9172,13.047,9.487,13.464,19.167,8.8049,4.3095,7.5218,5.7788,16.12,17.016,12.369,23.305,9.0797,16.94,15.478,9.9086,2,Surface
3.8569,8.2549,15.497,7.1683,7.9925,5.2852,10.752,10.331,15.141,10.593,5.035,5.399,12.048,8.5809,20.739,3.177,11.486,12.752,9.3976,16.498,1.6603,19.218,4.1281,4.9199,29.853,5.7029,6.6233,3.6012,15.097,9.271,9.7627,2,Surface
1.0059,12.581,13.977,31.298,10.308,18.526,12.801,16.001,9.4338,7.8704,5.5857,21.457,5.7472,21.154,23.497,6.2718,14.824,8.8283,19.812,25.312,4.0103,3.6094,12.221,11.363,4.3059,19.879,16.733,23.618,9.1434,8.1856,11.409,2,Surface
1.14,11.901,27.558,11.904,10.266,5.8083,6.373,8.0223,17.442,14.271,27.783,10.072,18.79,3.5772,10.748,2.5584,9.8038,24.233,11.572,12.405,5.3915,12.466,23.528,11.438,12.391,15.066,10.046,2.7039,14.055,8.5329,17.73,2,Surface
5.6662,5.3147,13.394,17.036,7.1466,11.059,18.035,17.366,13.495,23.916,35.854,11.864,3.2636,10.544,13.52,20.62,22.348,2.0028,10.561,9.0257,14.96,21.189,7.8032,14.672,10.851,15.555,14.016,17.663,20.697,14.973,4.4583,2,Surface
0.93867,15.767,14.549,14.074,12.05,10.513,12.195,15.381,8.2887,21.81,8.7694,8.7151,5.9307,17.351,10.009,22.091,12.308,23.274,17.413,6.815,5.031,14.071,3.4606,13.061,21.559,8.6353,19.541,4.4064,13.883,14.901,23.507,2,Surface
14.877,15.224,9.0881,4.2789,10.516,8.8617,11.062,10.674,10.981,11.519,6.6524,1.5646,7.5245,6.1694,1.8975,6.7664,12.273,11.345,2.4055,5.2201,5.6742,14.202,13.518,11.1,12.636,20.136,6.5212,13.747,8.5035,13.756,12.308,2,Surface
9.1004,20.74,15.22,13.271,17.617,7.2988,10.503,8.2252,29.016,3.1394,8.2086,3.8721,8.3439,19.783,20.301,10.323,6.9431,19.291,21.632,25.627,15.684,7.0119,14.689,16.202,16.856,1.3072,13.669,18.495,10.374,15.422,2.4506,2,Surface
0.11104,2.2137,2.5333,10.123,12.057,10.061,4.1576,10.61,18.497,10.874,25.775,10.05,5.0248,10.561,11.385,17.361,6.0349,5.6493,14.957,14.009,16.856,18.542,3.0787,5.3973,7.1806,4.8068,11.72,9.1742,12.792,15.592,7.8179,2,Surface
6.1523,12.172,12.219,14.821,7.6973,9.6061,17.63,17.463,17.524,33.687,7.4251,40.822,9.4142,11.879,19.357,9.265,8.2179,6.0058,15.836,18.38,31.207,8.6432,17.997,4.2825,11.194,14.437,28.456,8.0167,9.2895,11.491,14.143,2,Surface
37.419,13.643,20.221,14.407,7.1767,10.163,3.672,5.7634,14.984,11.239,10.652,4.2344,7.5646,14.631,17.665,13.929,10.191,1.089,15.542,24.706,10.207,11.319,9.8296,19.779,7.6597,12.51,13.927,19.423,9.0825,13.266,15.075,2,Surface
0.50266,22.962,15.333,27.046,19.432,24.997,33.336,19.644,21.091,28.386,14.721,6.6721,13.492,29.636,16.273,15.969,3.5094,21.915,32.585,12.351,2.2319,23.205,7.2155,16.421,18.035,17.384,16.601,22.737,11.974,19.252,20.032,2,Surface
4.6891,24.885,8.7639,20.38,13.399,24.929,20.258,17.02,21.52,8.5585,17.371,10.992,10.856,10.046,6.9753,1.6819,5.6355,6.6277,22.537,17.388,23.776,7.3167,16.693,4.4908,34.678,17.175,1.3421,22.186,11.059,18.255,29.979,2,Surface
24.996,28.648,5.3028,18.406,4.7488,8.7742,7.2466,3.282,9.9507,8.8568,6.3258,18.081,8.2225,6.0868,10.33,11.893,13.91,13.779,10.715,10.822,4.9675,6.3646,7.2449,14.227,15.806,4.0515,17.334,12.202,2.0393,10.382,2.4543,2,Surface
10.64,5.9434,2.699,13.87,14.612,8.6207,9.4229,11.182,3.6008,7.3178,9.5894,5.3979,3.2819,6.0869,8.7474,6.1059,1.864,4.956,19.272,8.187,8.5023,10.216,2.7975,14.408,10.577,20.606,5.5486,7.8509,5.329,14.99,3.1576,2,Surface
20.977,24.731,2.3691,4.736,23.475,8.9658,22.806,25.11,10.81,19.573,16.722,4.6504,12.161,9.7168,19.212,20.566,16.115,22.935,3.5413,13.712,8.2789,28.727,6.106,4.1775,16.372,10.199,6.5571,19.903,13.851,13.282,19.968,2,Surface
1.9011,12.951,20.283,11.871,13.4,10.3,11.459,7.3888,7.5726,6.0428,15.119,15.613,14.124,17.958,18.915,13.203,24.147,0.61038,17.927,3.1416,8.7907,18.804,4.7102,22.034,15.369,19.493,14.562,5.3415,3.1534,16.892,11.085,2,Surface
2.1206,11.104,5.0647,2.2955,11.378,12.067,21.391,15.551,7.4795,11.05,8.725,7.1466,11.415,3.8773,2.9782,24.453,29.316,10.558,4.9243,10.507,2.0355,20.847,7.6807,10.494,6.0551,14.218,15.334,6.3828,12.059,5.9054,11.878,2,Surface
8.9258,10.003,17.503,7.7084,18.647,11.016,8.663,17.983,20.833,18.918,7.0239,6.4259,9.2825,6.3091,20.844,2.8695,10.342,2.6875,28.075,15.927,15.393,5.7687,10.354,11.146,24.305,8.5116,11.809,7.458,7.2954,18.021,7.8056,2,Surface
33.781,17.924,25.633,18.257,7.5231,19.593,10.808,11.832,8.3745,13.011,14.812,11.034,21.316,26.21,18.977,8.1599,11.705,16.266,14.929,15.617,4.6427,10.014,7.4,11.128,11.399,25.686,12.777,2.464,29.616,9.6137,11.858,2,Surface
6.3928,13.044,8.777,2.0549,13.066,9.9876,13.655,16.656,25.76,19.638,18.301,8.9258,22.649,12.613,19.519,22.586,15.142,12.054,13.401,24.594,5.8378,15.903,15.696,9.1271,11.848,14.446,11.812,3.7521,12.432,5.064,22.379,2,Surface
0.067721,15.563,17.553,2.7041,5.332,12.002,5.1527,5.1649,10.667,11.957,11.138,1.8959,17.217,10.355,18.003,15.743,14.372,13.087,7.1933,14.073,0.65563,2.3687,9.8376,1.8449,6.7929,14.471,7.3277,3.5146,11.769,2.556,21.479,2,Surface
20.664,21.054,10.67,8.6427,11.166,9.5086,5.0346,17.806,20.087,5.4762,23.109,2.9794,12.661,16.443,18.923,14.637,8.6954,10.968,25.843,27.324,25.677,4.9739,11.102,7.4089,18.613,4.8329,13.824,13.629,12.042,3.3993,4.6589,2,Surface
46.207,12.284,24.008,17.527,14.774,15.358,11.666,12.368,20.677,9.0726,11.873,25.351,11.87,15.239,27.648,19.054,9.4278,12.805,14.292,8.6562,16.509,13.328,20.237,17.441,19.852,15.551,7.6923,19.284,29.787,14.938,6.8843,2,Surface
20.346,9.0523,11.281,7.8569,15.461,6.4639,12.391,9.1293,12.953,10.976,4.9681,23.451,16.818,2.001,23.125,8.0045,3.0871,8.4647,14.14,15.834,4.6092,7.1144,16.496,16.101,3.3023,24.598,11.239,5.4898,6.1195,10.568,12.32,2,Surface
11.828,5.7419,14.634,16.678,14.343,8.6192,9.077,4.4793,9.0271,17.263,4.203,27.535,25.615,26.144,12.686,14.59,13.155,30.977,3.4158,13.106,7.3705,19.217,15.043,14.906,13.892,4.321,31.474,7.0298,26.704,15.63,30.832,2,Surface
11.28,5.4637,20.317,16.59,19.258,19.44,31.261,20.01,33.644,26.648,11.896,11.565,16.383,9.9822,17.348,6.8081,14.76,9.0333,16.622,15.394,13.843,5.6284,15.594,9.5946,26.297,9.8113,17.806,12.573,20.802,4.2309,15.342,2,Surface
17.065,15.697,11.307,9.5275,27.728,16.187,13.241,14.38,16.049,13.226,34.332,13.53,25.374,4.8645,9.908,13.796,24.275,8.7996,3.1676,5.2157,22.486,7.9823,18.28,19.224,19.755,14.761,24.525,8.6723,18.253,21.775,23.433,2,Surface
13.881,15.832,32.132,30.507,13.581,14.256,18.535,11.493,26.598,12.916,8.4711,15.577,6.9378,16.017,18.845,10.451,4.8128,3.2835,9.1483,25.746,21.965,23.305,10.398,21.495,23.043,3.8916,32.431,8.3428,37.784,8.387,28.992,2,Surface
24.31,41.255,7.7222,19.619,11.572,18.686,11.113,20.172,21.711,18.693,9.0961,6.7842,14.055,1.9799,8.0292,7.4124,2.7197,4.3174,13.56,15.022,12.536,12.283,24.978,21.537,11.273,19.257,7.9147,8.3361,10,25.299,26.932,2,Surface
5.9749,5.2249,5.1605,7.4994,7.6118,8.1721,7.1141,12.933,5.7502,6.8814,8.4641,10.134,5.3135,16.187,4.6012,15.714,14.862,15.057,30.607,14.101,6.8229,11.074,25.763,11.756,9.5116,8.8673,14.089,12.578,9.0453,29.074,5.7597,2,Surface
9.8718,4.221,24.427,22,12.335,10.639,7.0763,15.189,16.528,4.6459,9.144,11.032,18.105,1.2594,13.568,4.3242,7.3371,12.733,8.2017,7.8688,10.015,16.689,13.43,5.3139,15.94,19.86,28.492,2.4876,3.4977,31.547,5.8188,2,Surface
15.442,16.282,17.666,12.329,19.144,13.97,31.87,25.289,29.403,9.9556,9.9178,22.28,13.344,8.8796,3.772,0.53864,21.324,5.4405,14.81,3.5668,13.171,24.426,6.0484,4.793,4.8868,22.071,4.0077,14.095,5.8995,22.554,14.607,2,Surface
8.0274,8.8253,6.6782,11.736,11.716,4.1308,8.2024,7.5529,13.567,22.185,11.139,18.199,9.9055,11.644,5.8963,17.137,13.332,9.0272,13.592,11.145,16.601,8.861,10.194,6.131,8.5126,3.6157,14.836,7.9872,17.305,14.676,9.4104,2,Surface
11.104,17.236,19.409,21.882,12.209,14.912,14.79,5.6216,20.14,6.2299,17.424,20.268,7.7761,11.292,15.092,12.929,22.998,7.2852,9.2255,18.851,19.659,13.819,7.078,4.9962,23.088,15.998,24.931,12.801,9.8167,15.665,14.748,2,Surface
3.7534,6.8612,17.394,13.645,5.5742,8.6544,6.3464,18.22,6.7432,15.276,14.518,8.7333,22.22,7.7295,4.2703,7.9815,22.173,13.599,4.498,14.026,6.8387,0.87381,5.1038,6.354,11.521,11.804,15.863,11.14,1.428,5.3924,6.7156,2,Surface
5.448,9.6603,5.21,15.777,17.17,22.116,6.625,21.903,22.12,16.763,15.482,8.4661,8.9801,13.784,8.7548,14.931,10.335,6.9086,16.303,17.129,24.324,8.9782,11.136,15.706,10.032,14.883,8.9259,6.3793,19.05,12.394,19.364,2,Surface
8.9634,0.41994,15.595,5.5333,11.826,6.1026,9.7265,17.346,18.042,5.5098,1.6265,16.647,15.19,5.9651,18.667,10.833,2.9677,12.269,15.581,18.174,12.303,22.345,22.205,12.69,3.452,10.695,15.053,19.789,6.1218,12.716,3.8904,2,Surface
17.643,0.90216,20.669,18.971,17.836,6.9299,4.5109,7.0345,8.6923,14.492,11.2,13.094,10.82,14.068,9.1373,7.9164,9.6768,11.987,14.205,23.114,8.6448,3.4902,19.958,6.0837,3.8023,12.979,11.957,18.5,11.079,11.599,2.1854,2,Surface
0.73337,12.854,11.203,20.628,1.831,1.8997,5.1348,9.9401,9.8025,6.3629,24.136,9.4472,9.4844,6.626,9.0321,13.936,18.52,18.906,6.1145,21.256,20.692,12.887,6.7179,13.459,8.1249,1.6156,9.5842,28.549,8.7832,6.0498,9.3237,2,Surface
0.39071,4.5734,18.778,14.071,2.7955,13.869,4.4214,11.291,14.947,9.6154,26.013,1.288,13.868,4.4215,16.829,12.868,15.708,14.423,7.2696,10.367,15.125,5.0384,10.575,16.875,12.753,12.718,7.9545,10.688,15.022,9.1513,7.6903,2,Surface
11.965,33.472,9.9504,7.2042,18.653,11.238,5.1952,9.1871,10.592,12.133,12.596,4.1497,12.625,8.8966,13.409,5.3414,9.2404,7.6091,0.72314,13.106,19.942,9.6068,5.45,12.167,16.769,20.304,17.329,15.987,6.1116,11.645,9.0435,2,Surface
5.7786,15.735,21.218,18.298,18.037,6.8326,10.572,3.0729,12.506,6.8031,24.324,8.7966,12.138,8.8667,4.6049,8.4552,20.399,35.536,21.283,14.731,10.644,21.585,14.614,2.4848,10.285,14.238,19.271,8.027,13.305,12.547,12.577,2,Surface
16.594,15.567,22.293,15.536,13.076,16.619,18.823,9.9043,5.0662,13.349,11.553,5.6615,3.9141,14.09,15.554,22.012,10.392,13.151,6.8486,7.5264,15.944,1.9791,11.316,8.6327,9.7719,10.488,7.5819,8.4269,17.812,11.44,26.718,2,Surface
16.232,15.142,9.9292,8.0502,9.028,1.8352,12.496,12.042,9.5098,4.6724,3.9241,8.3685,13.879,6.6363,18.851,10.623,21.346,11.076,8.6727,13.478,14.545,13.374,1.301,6.6827,3.8936,22.138,6.1935,7.2504,1.8248,5.8722,12.445,2,Surface
24.296,17.904,15.982,22.267,14.11,11.083,10.12,14.008,8.3926,19.847,39.818,13.345,6.2475,15.99,20.153,24.78,11.889,12.474,4.0382,5.0123,8.4077,14.919,5.6076,7.6008,17.07,15.188,15.875,12.166,10.567,7.0566,19.213,2,Surface
25.174,26.561,15.07,9.0451,6.0335,13.655,20.293,7.1484,8.7135,10.597,7.7412,11.722,10.079,14.251,14.777,3.7109,5.6975,20.969,22.467,17.029,3.6728,13.499,13.8,2.631,17.745,18.034,13.441,13.903,2.7123,21.736,6.4723,2,Surface
11.937,5.5234,11.765,7.5811,12.57,12.299,22.771,14.551,11.997,1.9894,10.466,5.0365,16.25,10.409,2.1477,18.973,6.3387,9.3294,8.0505,10.661,13.825,13.651,26.631,5.9112,18.199,27.263,7.7241,15.377,3.1449,20.281,15.869,2,Surface
5.9082,4.9602,24.654,12.732,10.293,14.671,8.1025,10.853,22.933,24.85,11.679,27.769,28.888,14.854,7.0739,12.568,19.905,15.939,18.079,22.609,5.4596,12.794,42.901,32.164,14.028,6.4622,3.1851,8.2019,16.292,9.3149,2.46,2,Surface
2.002,6.2023,1.0823,9.6656,16.303,9.0325,1.3229,9.7933,39.289,18.479,21.171,10.888,26.048,19.954,6.3214,21.063,29.425,14.764,9.6812,5.3714,12.719,14.522,26.996,6.287,25.204,6.2578,9.3069,11.148,9.2736,15.961,10.298,2,Surface
8.8597,14.275,10.202,25.935,8.6991,7.5176,9.8576,10.49,3.8317,6.1227,22.245,27.178,7.5009,9.5275,10.136,13.095,38.347,13.951,28.664,14.681,12.239,14.982,13.234,18.187,12.14,19.462,37.12,6.9497,19.827,1.464,27.21,2,Surface
29.756,24.814,21.473,5.7579,8.0786,31.495,26.112,20.978,13.521,18.539,13.464,27.17,20.39,12.457,17.228,3.3645,7.29,13.945,16.371,12.313,9.2638,27.639,4.9804,21.3,33.976,4.7179,22.052,35.889,28.816,2.6073,8.1306,2,Surface
18.48,18.904,15.65,16.515,6.3261,10.762,21.626,12.769,10.019,2.9479,11.716,5.5928,7.9438,16.47,17.491,13.552,6.4058,12.791,8.8118,19.072,16.124,15.165,10.128,33.963,8.4288,8.0437,14.519,9.6534,21.133,9.9047,1.3097,2,Surface
2.7131,5.8232,10.746,22.417,23.988,16.356,6.3346,18.351,15.017,15.198,5.1015,21.558,11.95,19.831,8.2067,12.024,20.846,16.07,17.442,10.073,17.274,15.091,20.68,13.678,19.596,16.632,2.2168,3.2585,8.8468,23.876,1.7395,2,Surface
16.169,8.2536,13.87,23.064,4.2481,11.385,10.304,3.0201,3.8052,6.8251,8.4174,41.461,6.6829,21.048,23.448,18.134,18.39,14.736,2.6685,11.385,7.2679,6.0393,31.068,17.195,41.115,7.6813,20.493,16.853,5.0471,14.052,27.352,2,Surface
42.654,25.691,14.572,9.3651,4.185,13.415,35.909,23.495,22.283,26.551,16.873,26.399,18.207,29.844,12.519,22.991,22.795,9.689,6.6312,7.0015,39.896,18.332,10.21,17.494,20.532,29.684,3.4332,28.869,12.708,25.235,12.197,2,Surface
21.717,20.948,20.66,26.551,35.567,10.089,2.7592,7.679,14.373,25.913,14.233,22.179,17.418,16.676,9.1995,34.277,29.43,20.255,36.516,4.8736,5.9488,24.416,8.0082,10.681,19.914,10.902,43.216,4.4428,15.557,25.113,12.067,2,Surface
14.22,17.743,18.915,6.0255,13.372,11.694,7.1723,6.7098,12.371,5.3087,16.898,5.7646,15.412,6.3809,25.918,17.03,13.495,7.9614,7.2607,12.707,14.408,10.065,15.584,5.537,12.963,15.171,15.994,3.7958,29.65,28.885,22.719,2,Surface
24.028,18.561,15.181,17.204,32.927,15.076,8.0067,27.755,32.834,19.647,12.858,19.763,14.449,13.313,3.7074,17.111,12.054,10.56,11.72,23.691,22.013,6.2605,33.081,20.031,17.455,17.108,12.462,9.7216,24.889,25.726,9.5198,2,Surface
2.8587,20.255,4.308,9.5727,15.391,7.0552,9.1399,8.035,11.487,15.917,21.741,17.998,11.615,16.635,27.341,15.715,7.908,5.8386,6.0057,6.9239,8.7008,14.708,8.7108,14.057,7.9692,11.921,6.4307,20.536,14.638,22.03,16.086,2,Surface
27.8,21.471,15.497,34.127,2.6016,11.3,15.409,3.3964,13.748,12.797,10.59,11.119,14.93,5.9919,13.914,17.756,9.6119,15.045,11.026,27.697,16.315,9.338,14.735,11.858,20.885,9.7431,19.564,3.9882,2.6162,22.654,22.49,2,Surface
26.906,5.9154,26.368,24.471,32.243,8.2463,17.516,21.939,18.879,5.3267,4.0599,11.684,22.76,29.761,30.509,16.931,20.921,23.839,17.735,11.517,7.6516,24.714,20.129,6.0159,28.9,6.023,17.167,17.935,14.031,25.623,18.035,3,Parallel
38.784,19.55,14.239,10.662,20.184,14.609,20.857,32.402,22.65,20.794,22.531,34.946,32.133,20.175,15.351,10.536,10.219,11.857,9.8739,21.715,28.507,12.178,15.607,10.591,25.075,10.695,4.3972,11.14,21.29,17.753,10.99,3,Parallel
16.728,20.499,16.513,35.525,1.5223,16.292,20.607,12.38,8.7447,23.93,23.286,31.292,12.982,4.9226,10.276,11.599,22.354,24.919,15.792,13.351,11.009,18.232,8.0089,13.952,10.172,30.735,16.327,9.1873,13.486,29.343,9.9126,3,Parallel
